-36.963,147.428,335.7,1.1,1.1,2020-01-14,0025,T,87,6.0NRT,298.4,37.4,D
-36.96,146.613,338.3,1.1,1,2020-01-14,0025,T,88,6.0NRT,302.5,37.3,D
-36.962,146.625,333.2,1.1,1,2020-01-14,0025,T,84,6.0NRT,302.9,28.9,D
-37.309,149.464,341.7,1.4,1.2,2020-01-14,0025,T,91,6.0NRT,296,64.1,D
-37.379,149.906,328.7,1.5,1.2,2020-01-14,0025,T,83,6.0NRT,293.9,41.9,D
-37.388,149.886,343.8,1.5,1.2,2020-01-14,0025,T,92,6.0NRT,296.1,82.9,D
-37.396,149.749,349.1,1.5,1.2,2020-01-14,0025,T,90,6.0NRT,297.6,91.1,D
-37.383,149.413,328,1.4,1.2,2020-01-14,0025,T,82,6.0NRT,295.3,36,D
-37.401,149.377,337.5,1.4,1.2,2020-01-14,0025,T,89,6.0NRT,295,56.8,D
-37.438,149.726,337.2,1.5,1.2,2020-01-14,0025,T,88,6.0NRT,296.4,53.8,D
-37.449,149.827,335.5,1.5,1.2,2020-01-14,0025,T,88,6.0NRT,295.4,58.8,D
-37.333,147.712,331,1.2,1.1,2020-01-14,0025,T,84,6.0NRT,299,28.6,D
-37.336,147.655,329,1.2,1.1,2020-01-14,0025,T,82,6.0NRT,296.6,26.3,D
-37.47,148.543,335.8,1.3,1.1,2020-01-14,0025,T,87,6.0NRT,300.8,39.3,D
-37.491,148.11,348.1,1.2,1.1,2020-01-14,0025,T,94,6.0NRT,300.5,64.9,D
-37.548,147.484,358.7,1.2,1.1,2020-01-14,0025,T,99,6.0NRT,299.3,92.2,D
-37.549,147.497,377.7,1.2,1.1,2020-01-14,0025,T,100,6.0NRT,302.5,168.4,D
-37.744,149.185,334.5,1.4,1.2,2020-01-14,0025,T,81,6.0NRT,299,45.3,D
-37.56,147.49,327.5,1.2,1.1,2020-01-14,0025,T,81,6.0NRT,299.9,24.3,D
-37.572,147.501,331.4,1.2,1.1,2020-01-14,0025,T,84,6.0NRT,299.2,29.3,D
-37.581,147.499,328.1,1.2,1.1,2020-01-14,0025,T,81,6.0NRT,299.9,25.1,D
-17.468,-41.451,315,2.1,1.4,2020-01-14,0100,T,90,6.0NRT,295.1,33.6,N
-16.397,-40.097,312.6,1.6,1.2,2020-01-14,0100,T,84,6.0NRT,293.1,21.2,N
-10.756,-37.036,311.2,1,1,2020-01-14,0100,T,81,6.0NRT,295.3,9.2,N
-10.645,-37.031,330.6,1,1,2020-01-14,0100,T,100,6.0NRT,295.8,28,N
-10.186,-36.712,321.4,1,1,2020-01-14,0100,T,100,6.0NRT,292.8,18.1,N
-9.817,-36.321,341.5,1,1,2020-01-14,0100,T,100,6.0NRT,298.6,45.8,N
